seq_type	feature	class	product_accession	name	symbol	locus_tag	symbol_old	locus_tag_old	symbol_renamed	locus_tag_a	final_gene_name
chromosome	rRNA			16S ribosomal RNA		QLH64-00005		QLH64_00005	FALSE	QLH64-00005	QLH64-00005
chromosome	tRNA			tRNA-Ile		QLH64-00010		QLH64_00010	FALSE	QLH64-00010	QLH64-00010
chromosome	tRNA			tRNA-Ala		QLH64-00015		QLH64_00015	FALSE	QLH64-00015	QLH64-00015
chromosome	rRNA			23S ribosomal RNA		QLH64-00020		QLH64_00020	FALSE	QLH64-00020	QLH64-00020
chromosome	rRNA			5S ribosomal RNA	rrf_1	QLH64-00025	rrf	QLH64_00025	TRUE	QLH64-00025	rrf_1
chromosome	CDS	with_protein	WHS54405.1	exodeoxyribonuclease V subunit gamma	recC	QLH64-00030	recC	QLH64_00030	FALSE	QLH64-00030	recC
chromosome	CDS	with_protein	WHS54406.1	exodeoxyribonuclease V subunit beta	recB	QLH64-00035	recB	QLH64_00035	FALSE	QLH64-00035	recB
chromosome	CDS	with_protein	WHS54407.1	exodeoxyribonuclease V subunit alpha	recD	QLH64-00040	recD	QLH64_00040	FALSE	QLH64-00040	recD
chromosome	CDS	with_protein	WHS54408.1	YfiR family protein		QLH64-00045		QLH64_00045	FALSE	QLH64-00045	QLH64-00045
chromosome	CDS	with_protein	WHS54409.1	diguanylate cyclase		QLH64-00050		QLH64_00050	FALSE	QLH64-00050	QLH64-00050
chromosome	CDS	with_protein	WHS57090.1	OmpA family protein		QLH64-00055		QLH64_00055	FALSE	QLH64-00055	QLH64-00055
chromosome	CDS	with_protein	WHS54410.1	hypothetical protein		QLH64-00060		QLH64_00060	FALSE	QLH64-00060	QLH64-00060
chromosome	CDS	with_protein	WHS54411.1	hypothetical protein		QLH64-00065		QLH64_00065	FALSE	QLH64-00065	QLH64-00065
chromosome	CDS	with_protein	WHS54412.1	ATP-binding protein		QLH64-00070		QLH64_00070	FALSE	QLH64-00070	QLH64-00070
chromosome	CDS	with_protein	WHS54413.1	LysR family transcriptional regulator		QLH64-00075		QLH64_00075	FALSE	QLH64-00075	QLH64-00075
chromosome	CDS	with_protein	WHS54414.1	CoA-acylating methylmalonate-semialdehyde dehydrogenase		QLH64-00080		QLH64_00080	FALSE	QLH64-00080	QLH64-00080
chromosome	CDS	with_protein	WHS54415.1	3-hydroxyisobutyrate dehydrogenase	mmsB	QLH64-00085	mmsB	QLH64_00085	FALSE	QLH64-00085	mmsB
chromosome	CDS	with_protein	WHS54416.1	cupin domain-containing protein		QLH64-00090		QLH64_00090	FALSE	QLH64-00090	QLH64-00090
chromosome	CDS	with_protein	WHS54417.1	LysR substrate-binding domain-containing protein		QLH64-00095		QLH64_00095	FALSE	QLH64-00095	QLH64-00095
chromosome	CDS	with_protein	WHS54418.1	sulfite exporter TauE/SafE family protein		QLH64-00100		QLH64_00100	FALSE	QLH64-00100	QLH64-00100
chromosome	CDS	with_protein	WHS54419.1	putative quinol monooxygenase		QLH64-00105		QLH64_00105	FALSE	QLH64-00105	QLH64-00105
chromosome	CDS	with_protein	WHS54420.1	NAD(P)H-dependent oxidoreductase		QLH64-00110		QLH64_00110	FALSE	QLH64-00110	QLH64-00110
chromosome	CDS	with_protein	WHS54421.1	LysR family transcriptional regulator		QLH64-00115		QLH64_00115	FALSE	QLH64-00115	QLH64-00115
chromosome	CDS	with_protein	WHS54422.1	NAD-dependent epimerase/dehydratase family protein		QLH64-00120		QLH64_00120	FALSE	QLH64-00120	QLH64-00120
chromosome	CDS	with_protein	WHS54423.1	SulP family inorganic anion transporter		QLH64-00125		QLH64_00125	FALSE	QLH64-00125	QLH64-00125
chromosome	CDS	with_protein	WHS54424.1	gluconate:H+ symporter		QLH64-00130		QLH64_00130	FALSE	QLH64-00130	QLH64-00130
chromosome	CDS	with_protein	WHS54425.1	MurR/RpiR family transcriptional regulator		QLH64-00135		QLH64_00135	FALSE	QLH64-00135	QLH64-00135
chromosome	CDS	with_protein	WHS54426.1	D-aminoacylase		QLH64-00140		QLH64_00140	FALSE	QLH64-00140	QLH64-00140
chromosome	CDS	with_protein	WHS54427.1	glyoxalase superfamily protein		QLH64-00145		QLH64_00145	FALSE	QLH64-00145	QLH64-00145
chromosome	CDS	with_protein	WHS54428.1	plasmid stabilization protein		QLH64-00150		QLH64_00150	FALSE	QLH64-00150	QLH64-00150
chromosome	CDS	with_protein	WHS54429.1	type II toxin-antitoxin system VapC family toxin		QLH64-00155		QLH64_00155	FALSE	QLH64-00155	QLH64-00155
chromosome	CDS	with_protein	WHS54430.1	RHS repeat-associated core domain-containing protein		QLH64-00160		QLH64_00160	FALSE	QLH64-00160	QLH64-00160
chromosome	CDS	with_protein	WHS54431.1	SpvB/TcaC N-terminal domain-containing protein		QLH64-00165		QLH64_00165	FALSE	QLH64-00165	QLH64-00165
chromosome	CDS	with_protein	WHS54432.1	neuraminidase-like domain-containing protein		QLH64-00170		QLH64_00170	FALSE	QLH64-00170	QLH64-00170
chromosome	CDS	with_protein	WHS54433.1	Tc toxin subunit A		QLH64-00175		QLH64_00175	FALSE	QLH64-00175	QLH64-00175
chromosome	CDS	with_protein	WHS54434.1	methyl-accepting chemotaxis protein		QLH64-00180		QLH64_00180	FALSE	QLH64-00180	QLH64-00180
chromosome	CDS	with_protein	WHS57091.1	histidine phosphatase family protein		QLH64-00185		QLH64_00185	FALSE	QLH64-00185	QLH64-00185
chromosome	CDS	with_protein	WHS54435.1	phosphatase PAP2 family protein		QLH64-00190		QLH64_00190	FALSE	QLH64-00190	QLH64-00190
chromosome	CDS	with_protein	WHS54436.1	catalase/peroxidase HPI	katG	QLH64-00195	katG	QLH64_00195	FALSE	QLH64-00195	katG
chromosome	CDS	with_protein	WHS54437.1	hypothetical protein		QLH64-00200		QLH64_00200	FALSE	QLH64-00200	QLH64-00200
chromosome	CDS	with_protein	WHS54438.1	ABC transporter substrate-binding protein		QLH64-00205		QLH64_00205	FALSE	QLH64-00205	QLH64-00205
chromosome	CDS	with_protein	WHS54439.1	ABC transporter ATP-binding protein		QLH64-00210		QLH64_00210	FALSE	QLH64-00210	QLH64-00210
chromosome	CDS	with_protein	WHS54440.1	ABC transporter ATP-binding protein		QLH64-00215		QLH64_00215	FALSE	QLH64-00215	QLH64-00215
chromosome	CDS	with_protein	WHS54441.1	ABC transporter permease		QLH64-00220		QLH64_00220	FALSE	QLH64-00220	QLH64-00220
chromosome	CDS	with_protein	WHS54442.1	ABC transporter permease		QLH64-00225		QLH64_00225	FALSE	QLH64-00225	QLH64-00225
chromosome	CDS	with_protein	WHS54443.1	proline iminopeptidase-family hydrolase		QLH64-00230		QLH64_00230	FALSE	QLH64-00230	QLH64-00230
chromosome	CDS	with_protein	WHS54444.1	LuxR family transcriptional regulator		QLH64-00235		QLH64_00235	FALSE	QLH64-00235	QLH64-00235
chromosome	CDS	with_protein	WHS54445.1	proline iminopeptidase-family hydrolase		QLH64-00240		QLH64_00240	FALSE	QLH64-00240	QLH64-00240
chromosome	CDS	with_protein	WHS54446.1	ShlB/FhaC/HecB family hemolysin secretion/activation protein		QLH64-00245		QLH64_00245	FALSE	QLH64-00245	QLH64-00245
chromosome	CDS	with_protein	WHS54447.1	DUF637 domain-containing protein		QLH64-00250		QLH64_00250	FALSE	QLH64-00250	QLH64-00250
chromosome	CDS	with_protein	WHS54448.1	hypothetical protein		QLH64-00255		QLH64_00255	FALSE	QLH64-00255	QLH64-00255
chromosome	CDS	with_protein	WHS57092.1	DUF637 domain-containing protein		QLH64-00260		QLH64_00260	FALSE	QLH64-00260	QLH64-00260
chromosome	CDS	with_protein	WHS57093.1	hypothetical protein		QLH64-00265		QLH64_00265	FALSE	QLH64-00265	QLH64-00265
chromosome	CDS	with_protein	WHS54449.1	hypothetical protein		QLH64-00270		QLH64_00270	FALSE	QLH64-00270	QLH64-00270
chromosome	CDS	with_protein	WHS54450.1	hypothetical protein		QLH64-00275		QLH64_00275	FALSE	QLH64-00275	QLH64-00275
chromosome	CDS	with_protein	WHS54451.1	IS4 family transposase		QLH64-00280		QLH64_00280	FALSE	QLH64-00280	QLH64-00280
